tweet_id,location,location_true
ID_1001154804658286592,England Maryland New Orleans,New England New Orleans
ID_1001155505459486720,EllicottCity FL MARYLAND PR,ELLICOTT CITY MARYLAND
ID_1001155756371136512,Ellicott City Maryland,Ellicott City Maryland
ID_1001159445194399744,Ellicott City Maryland,Ellicott City Maryland
ID_1001164907587538944,Ellicott City FL Maryland,Ellicott City Maryland
ID_1001178904617476096,Maryland,Maryland
ID_1001179909245587456,Maryland,Maryland city
ID_1001180876548591616,Ellicott City Maryland,Ellicott City Maryland
ID_1001182906130280448,Ellicott City Maryland,Ellicott City Maryland
ID_1001185240256311296,Ellicott City Maryland,Ellicott City Maryland
ID_1001192363719618560,Maryland,Elicott City Maryland
ID_1001193418113118208,Ellicott City Maryland,Ellicott City Maryland
ID_1001199521228042240,Indian Indiana Maryland,Indiana County Maryland
ID_1001206304793296896,EllicottCity Maryland,EllicottCity Maryland
ID_1001209276826779648,Baltimore Ellicott City Maryland,Baltimore Ellicott City Maryland
ID_1001211097620369408,Maryland,Maryland
ID_1001212592868671488,Ellicott City Maryland,Ellicott City Maryland
ID_1001226873404379136,Maryland,Maryland
ID_1001231665606414336,Ellicott City Maryland,Ellicott City Maryland
ID_1001232053893988352,Ellicott City USA,Ellicott City
ID_1001236424891469824,Ellicott City Maryland,Ellicott City Maryland
ID_1001241227818405888,Maryland,Maryland
ID_1001243494701195264,East Coast Ellicott City Maryland NC,Ellicott City Maryland
ID_1001251398510612480,Maryland,Maryland
ID_1001269150600212480,Maryland,Maryland
ID_1001289525270757376,Maryland,Maryland
ID_1001289928385449984,Ellicott City,Ellicott City
ID_1001323647695507456,Ellicott City PR Phoenix,Ellicott City
ID_1001336319732277248,Ellicott City Howard County Maryland,Ellicott City Howard County Maryland
ID_1001371607598878720,Maryland,Maryland
ID_1001376222251712512,FL Maryland,Maryland
ID_1001387352542076928,Maryland,Maryland
ID_1001394889974743040,Maryland,Maryland
ID_1001409689974902784,Ellicott City Maryland,Ellicott City Maryland
